id;packaging;famille;fournisseur;origine de la valeur;points de vigilance (contenu au 09/09/2026)
bague-tfb-bowl-900ml;BAGUE TFB BOWL 900ML;Bague;WELLEMBAL;;
boite-1x-eclair-tfb;BOÎTE 1X ECLAIR TFB;Boîte;WELLEMBAL;;
boite-1x-patisserie-tfb;BOITE 1X PATISSERIE TFB;Boîte;WELLEMBAL;;
boite-2x-patisserie-tfb;BOITE 2X PATISSERIE TFB;Boîte;WELLEMBAL;;
boite-4x-bmc-tfb;BOITE 4X BMC TFB;Boîte;WELLEMBAL;;
boite-6x-patisserie-neutre;BOITE 6X PATISSERIE NEUTRE;Boîte;WELLEMBAL;;
boite-6x-patisserie-tfb;BOITE 6X PATISSERIE TFB;Boîte;WELLEMBAL;;
boite-8x-bmc-tfb;BOITE 8X BMC TFB;Boîte;WELLEMBAL;;
boites-a-cakes-tfb;BOITES A CAKES TFB;Boîte;LITOGRAF;;
bouteille-pet-25cl-bouchon-noir;BOUTEILLE PET 25CL + BOUCHON NOIR;Bouteille;WELLEMBAL;;
bowl-900-ml-kraft-d183;BOWL 900 ML KRAFT D183;Bowl;WELLEMBAL;;
calisto-mug-h10-sable-creme;CALISTO MUG H10 SABLE CREME;Vaisselle;GOBERLOTE;;
calisto-tasse-h5-5-sable-creme;CALISTO TASSE H5,5 SABLE CREME;Vaisselle;GOBERLOTE;;
couvercle-gobelet-10cl;COUVERCLE GOBELET 10CL;Couvercle;WELLEMBAL;;
couvercle-gobelet-25cl;COUVERCLE GOBELET 25CL;Couvercle;WELLEMBAL;;
couvercle-gobelet-35cl;COUVERCLE GOBELET 35CL;Couvercle;WELLEMBAL;;
etiquettes-en-rouleau-45x45mm-cake-marbre;ETIQUETTES EN ROULEAU 45X45MM CAKE MARBRE;Étiquette;LITOGRAF;;
etiquettes-en-rouleau-45x45mm-cake-praline-amande;ETIQUETTES EN ROULEAU 45X45MM CAKE PRALINE AMANDE;Étiquette;LITOGRAF;;
etiquettes-en-rouleau-45x45mm-cake-vanille-caramel;ETIQUETTES EN ROULEAU 45X45MM CAKE VANILLE CARAMEL;Étiquette;LITOGRAF;;
gobelet-10cl-tfb;GOBELET 10CL TFB;Gobelet;WELLEMBAL;;
gobelet-25cl-tfb;GOBELET 25CL TFB;Gobelet;WELLEMBAL;;
gobelet-35cl-neutre;GOBELET 35CL NEUTRE;Gobelet;WELLEMBAL;;
grand-sac-pain-tranche-tfb-22x12x40cm;GRAND SAC PAIN TRANCHE TFB 22x12x40CM;Sac;WELLEMBAL;;
inventaire-cofanetto-cake-cartoncino;INVENTAIRE - COFANETTO CAKE CARTONCINO;Boîte;LITOGRAF;;
inventaire-cofanetto-cake-fascia;INVENTAIRE - COFANETTO CAKE FASCIA;Boîte;LITOGRAF;;
inventaire-cofanetto-cake-fondo;INVENTAIRE - COFANETTO CAKE FONDO;Boîte;LITOGRAF;;
kit-2-1-en-bois-fourchette-couteau;KIT 2/1 EN BOIS (FOURCHETTE / COUTEAU);Couverts;WELLEMBAL;;
mug-aube-h10cm;MUG AUBE H10CM;Vaisselle;GOBERLOTE;;
papier-ingraissable-900x1000-mm-kraft;PAPIER INGRAISSABLE 900x1000 MM KRAFT;Papier;WELLEMBAL;;
papier-sandwich-ingraissable-tfb;PAPIER SANDWICH INGRAISSABLE TFB;Papier;WELLEMBAL;;
petit-sac-pain-tranche-tfb-22x12x25cm;PETIT SAC PAIN TRANCHE TFB 22x12x25CM;Sac;WELLEMBAL;;
porte-gobelet;PORTE GOBELET;Accessoire;WELLEMBAL;;
rouleau-pain-papier-alimentaire-tfb;ROULEAU PAIN PAPIER ALIMENTAIRE TFB;Papier;WELLEMBAL;;
sac-cabas-tfb-26x17x29cm;SAC CABAS TFB 26X17X29CM;Sac;WELLEMBAL;;
sac-croissant-t1-tfb-14x8x22cm;SAC CROISSANT T1 TFB 14X8X22CM;Sac;WELLEMBAL;;
sac-croissant-t2-tfb-18x8x31cm;SAC CROISSANT T2 TFB 18X8X31CM;Sac;WELLEMBAL;;
sac-croissant-t3-tfb-19x8x33cm;SAC CROISSANT T3 TFB 19X8X33CM;Sac;WELLEMBAL;;
sac-grands-gateaux;SAC GRANDS GATEAUX;Sac;WELLEMBAL;;
sachet-baguette-tfb;SACHET BAGUETTE TFB;Sac;WELLEMBAL;;
sachet-galettes-tfb-x-isigny;SACHET GALETTES TFB X ISIGNY;Sac;WELLEMBAL;;
serviette-tfb;SERVIETTE TFB;Serviette;WELLEMBAL;;
tasse-aube-h7cm;TASSE AUBE H7CM;Vaisselle;GOBERLOTE;;
tote-baguette-tfb;TOTE BAGUETTE TFB;Sac;WELLEMBAL;;
